Ref,Qty,Description,Concept Part,Package,Key Requirement,Notes
U1,1,Low-power MCU,STM32L432KCUx,QFN-32,Firmware control and low-power operation,Candidate path from Keil device-pack audit
U2,1,Environmental sensor,BME280/BME680 class,LGA/I2C module,Temperature humidity pressure sensing,Exact part to be selected after sensing requirement lock
U3,1,3V3 regulator,TPS6217x / MCP1700 class,SOT-23-5 or DFN,Efficient regulated rail,Final choice depends on battery current and sleep target
Q1,1,Reverse-protection MOSFET,P-channel MOSFET,SOT-23,Input protection,Concept power-path element
F1,1,Resettable fuse,PTC fuse,1206,Input over-current protection,Concept protection element
J1,1,Sealed SWD/service connector,Tag-Connect or 6-pin sealed header,Connector,Debug/service access,Routed to sealed service/debug port
J2,1,Radio boundary connector,6-pin board-to-board header,Connector,Future radio module boundary,Not a certified radio design
BT1,1,Battery input connector,JST-PH 2-pin,Connector,Protected battery input,Located near battery pocket
R1 R2,2,Battery divider resistors,1 M / 330 k concept,0603,Battery ADC scaling,Review leakage before hardware
R3 R4,2,I2C pull-up resistors,4.7 k concept,0603,I2C bus pull-up,Review sleep current and bus capacitance
R5 R6,2,LED current resistors,1 k concept,0603,Status/fault LED current limit,Review visibility through enclosure
D1,1,Status LED,Green low-current LED,0603,Visible service feedback,May move to light-pipe position
D2,1,Fault LED,Red low-current LED,0603,Fault/low-battery indication,May move to light-pipe position
C1 C2,2,Regulator capacitors,10 uF concept,0805,Power stability,Final ESR/capacitance per regulator datasheet
C3 C4,2,MCU decoupling,100 nF,0402/0603,MCU local decoupling,Placed close to U1 VDD pins
SW1,1,Service wake switch/reed input,Sealed input boundary,Connector/switch,Wake service mode,Mechanical sealing drives exact implementation
